id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
10473052,Room in the heart of Williamsburg,41832478,Caroline,Brooklyn,Williamsburg,Private room
10473676,Modern Apartment in Harlem,6385674,Daniel,Manhattan,Harlem,Entire home/apt
10473730,Private Room in Sunlit & Art-filled Apartment,9383056,Dave,Brooklyn,Bedford-Stuyvesant,Private room
10474780,Private Room next to park,40312267,Trini,Brooklyn,Flatbush,Private room
10475047,Large Bohemian Room in Brownstone Apartment,24094081,Isabella,Brooklyn,Bushwick,Private room
10476556,Close to zoo and Botanical Gardens,53717769,Travis,Bronx,Parkchester,Entire home/apt
10476782,Artist Apartment with Tons of Space,47573846,Jemier,Bronx,Wakefield,Entire home/apt
10477767,Spacious & Relaxing Garden Apartment,347475,Chialing,Brooklyn,Columbia St,Entire home/apt
10478114,cozy large room located in Brooklyn,52172297,Dannale,Brooklyn,Bedford-Stuyvesant,Private room
10478482,Park Slope 2 BR Long Term Rental,9122037,Chris,Brooklyn,Park Slope,Entire home/apt
10478526,A cozy two bedroom apartment,16300728,Hamid,Brooklyn,Sunset Park,Private room
10482237,Interfaith Retreat Guest Rooms (Ganges),16677326,Alex And Zeena,Manhattan,Chelsea,Private room
10482409,Interfaith Retreat Guest Rooms (Faith),16677326,Alex And Zeena,Manhattan,Chelsea,Private room
10482554,Interfaith Retreat Guest Rooms (Mary),16677326,Alex And Zeena,Manhattan,Chelsea,Private room
10484019,Beautiful and bright garden studio,1692144,Cecil,Brooklyn,South Slope,Entire home/apt
10487548,Stylish peaceful oasis,587918,Elle,Manhattan,East Village,Entire home/apt
10488146,Large Sunny Private Room w/Balcony & Roof,2355573,Sarah,Brooklyn,Williamsburg,Private room
10488505,3 bedroom duplex next to Central Pk,5162192,Amy,Manhattan,Upper West Side,Entire home/apt
10489240,Entire 2 Bedroom in a smart new house,16782573,Dorina,Queens,Middle Village,Entire home/apt
10489896,Extra Bed in a Cozy & Sunny Studio,54074349,Razan,Manhattan,Chelsea,Shared room
10489923,Beautiful Spacious NYC Apartment,54074445,Catherine,Manhattan,Roosevelt Island,Entire home/apt
10490073,Charming big room by Propect Park,2503478,Hajra,Brooklyn,Prospect-Lefferts Gardens,Private room
10491207,Priv. Room in Bushwick near L Train,54081802,Urs,Queens,Ridgewood,Private room
10491594,one bedroom apt in a new house,16782573,Dorina,Queens,Middle Village,Entire home/apt
10497886,Lots of Light Brooklyn Apartment,21820535,Patrice,Brooklyn,Crown Heights,Private room
10498577,Cozy bedroom in Astoria,54123180,Shirley (Fred),Queens,Astoria,Private room
10499025,Light-filled Greenpoint 2 bedroom apartment,5829904,Erin,Brooklyn,Greenpoint,Entire home/apt
10500033,Big Manhattan room w. private bath,54130768,Aida,Manhattan,Washington Heights,Private room
10500222,Adorable West Village Apartment,22364252,Federica,Manhattan,West Village,Entire home/apt
10500406,Cozy UES bedroom with private bath,16572048,Melissa,Manhattan,Upper East Side,Private room
10502523,Private Room For 1 w/ Separate Entrance Student / Intern / Traveler,43392243,Rita,Staten Island,Concord,Private room
10509662,Spacious bedroom available in SoHo,8255336,Darren,Manhattan,SoHo,Private room
10512575,Prime UWS studio with loft bed South expo !!,26584499,Ofir,Manhattan,Upper West Side,Entire home/apt
10512812,Bright central Manhattan bedroom,6429683,Andrew,Manhattan,Upper East Side,Private room
10512932,Beautiful 1 bedroom apt.,40861618,Greg,Manhattan,Inwood,Entire home/apt
10513228,Beautiful room in HUGE 2 bedroom loft style apt,853118,Felix,Brooklyn,Bedford-Stuyvesant,Private room
10513499,Sunny 1 bedroom Apartment,54206554,Pippa,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10514166,Spacious Room in hip Williamsburg,48170471,Johanna,Brooklyn,Williamsburg,Private room
10514203,Giant Landmark Apartment in the Sky,3710888,Lisa,Brooklyn,Park Slope,Private room
10514879,"2BR Luxury Sunny Apt, East Village",4118478,Katherine,Manhattan,East Village,Entire home/apt
